PMID,ISSN,JournalTitle,ISOAbbreviation,ArticleTitle,Authors,Year,Month,Day
17,0006-2952,Biochemical pharmacology,Biochem Pharmacol,"Effects of 5,6-dihydroxytryptamine on tyrosine-hydroxylase activity in central catecholaminergic neurons of the rat.","Renaud, B, B; Buda, M, M; Lewis, B D, BD; Pujol, J F, JF",1975,Sep,15
18,0006-2952,Biochemical pharmacology,Biochem Pharmacol,Inhibition of aldehyde reductase isoenzymes in human and rat brain.,"Ris, M M, MM; Deitrich, R A, RA; Von Wartburg, J P, JP",1975,Oct,15
19,0006-2952,Biochemical pharmacology,Biochem Pharmacol,Antidepressant drugs affect dopamine uptake.,"Halaris, A E, AE; Belendiuk, K T, KT; Freedman, D X, DX",1975,Oct,15
20,0006-2952,Biochemical pharmacology,Biochem Pharmacol,Aggregation of blood platelets by adrenaline and its uptake.,"Barthel, W, W; Markwardt, F, F",1975,Oct,15
21,0004-4172,Arzneimittel-Forschung,Arzneimittelforschung,[Biochemical studies on camomile components/III. In vitro studies about the antipeptic activity of (--)-alpha-bisabolol (author's transl)].,"Isaac, O, O; Thiemer, K, K",1975,Sep,NA
22,0004-4172,Arzneimittel-Forschung,Arzneimittelforschung,"[Demonstration of tumor inhibiting properties of a strongly immunostimulating low-molecular weight substance. Comparative studies with ifosfamide on the immuno-labile DS carcinosarcoma. Stimulation of the autoimmune activity for approx. 20 days by BA 1, a N-(2-cyanoethylene)-urea. Novel prophylactic possibilities].","Ardenne, M, M; Reitnauer, P G, PG",1975,Sep,NA
23,0004-4172,Arzneimittel-Forschung,Arzneimittelforschung,Effect of etafenone on total and regional myocardial blood flow.,"Flohr, H, H; Breull, W, W",1975,Sep,NA
24,0004-4172,Arzneimittel-Forschung,Arzneimittelforschung,Influence of a new virostatic compound on the induction of enzymes in rat liver.,"Kröger, H, H; Donner, I, I; Skiello, G, G",1975,Sep,NA
25,0004-4172,Arzneimittel-Forschung,Arzneimittelforschung,Pharmacological properties of new neuroleptic compounds.,"Coscia, L, L; Causa, P, P; Giuliani, E, E; Nunziata, A, A",1975,Sep,NA
26,0004-4172,Arzneimittel-Forschung,Arzneimittelforschung,[Studies on the action of an anticholinergic agent in combination with a tranquilizer on gastric juice secretion in man].,"Scherberger, R R, RR; Kaess, H, H; Brückner, S, S",1975,Sep,NA
27,0007-0912,British journal of anaesthesia,Br J Anaesth,"Editorial: ""Old lamps for new"".","Conway, C M, CM",1975,Aug,NA
28,0007-0912,British journal of anaesthesia,Br J Anaesth,Letter: Duration of action of AH8165.,"Thornton, J A, JA; Harrison, M J, MJ",1975,Sep,NA
29,0007-0947,The British journal of clinical practice,Br J Clin Pract,Lorazepam in sexual disorders.,"Maneksha, S, S; Harry, T V, TV",1975,Jul,NA
30,0007-0963,The British journal of dermatology,Br J Dermatol,Lysosomal hydrolases of the epidermis. I. Glycosidases.,"Mier, P D, PD; van den Hurk, J J, JJ",1975,Jul,NA
31,0007-0963,The British journal of dermatology,Br J Dermatol,Lysosomal hydrolases of the epidermis. 2. Ester hydrolases.,"Mier, P D, PD; van den Hurk, J J, JJ",1975,Oct,NA
32,0007-1048,British journal of haematology,Br J Haematol,A serum haemagglutinating property dependent upon polycarboxyl groups.,"Beck, M L, ML; Freihaut, B, B; Henry, R, R; Pierce, S, S; Bayer, W L, WL",1975,Jan,NA
33,0007-1048,British journal of haematology,Br J Haematol,Effect of human erythrocyte stromata on complement activation.,"Corrocher, R, R; Tedesco, F, F; Rabusin, P, P; De Sandre, G, G",1975,Feb,NA
34,0007-1048,British journal of haematology,Br J Haematol,Determinants of intracellular pH in the erythrocyte.,"Warth, J, J; Desforges, J F, JF",1975,Mar,NA
35,0007-1048,British journal of haematology,Br J Haematol,The effect of o-salicylate upon pentose phosphate pathway activity in normal and G6PD-deficient red cells.,"Worathumrong, N, N; Grimes, A J, AJ",1975,Jun,NA
36,0007-1145,The British journal of nutrition,Br J Nutr,"The effects of processing of barley-based supplements on rumen pH, rate of digestion of voluntary intake of dried grass in sheep.","Orskov, E R, ER; Fraser, C, C",1975,Nov,NA
37,0006-2960,Biochemistry,Biochemistry,Poly(8-aminoguanylic acid): formation of ordered self-structures and interaction with poly(cytidylic acid).,"Hattori, M, M; Frazier, J, J; Miles, H T, HT",1975,Nov,18
38,0006-2960,Biochemistry,Biochemistry,Effect of pH on substrate and inhibitor kinetic constants of human liver alanine aminopeptidase. Evidence for two ionizable active center groups.,"Garner, C W, CW; Behal, F J, FJ",1975,Nov,18
39,0006-2960,Biochemistry,Biochemistry,Formation of transient complexes in the glutamate dehydrogenase catalyzed reaction.,"Sanner, T, T",1975,Nov,18
40,0006-2960,Biochemistry,Biochemistry,Human brain and placental choline acetyltransferase: purification and properties.,"Roskoski, R, R; Lim, C T, CT; Roskoski, L M, LM",1975,Nov,18
41,0006-2960,Biochemistry,Biochemistry,Stabilization of the globular structure of ferricytochrome c by chloride in acidic solvents.,"Stellwagen, E, E; Babul, J, J",1975,Nov,18
42,0006-2960,Biochemistry,Biochemistry,A competitive labeling method for the determination of the chemical properties of solitary functional groups in proteins.,"Duggleby, R G, RG; Kaplan, H, H",1975,Nov,18
43,0006-2960,Biochemistry,Biochemistry,"Modification of arginine and lysine in proteins with 2,4-pentanedione.","Gilbert, H F, HF; O'Leary, M H, MH",1975,Nov,18
44,0006-2960,Biochemistry,Biochemistry,The origin of the alkaline inactivation of pepsinogen.,"McPhie, P, P",1975,Dec,02
45,0006-2960,Biochemistry,Biochemistry,Bovine liver dihydrofolate reductase: purification and properties of the enzyme.,"Peterson, D L, DL; Gleisner, J M, JM; Blakley, R L, RL",1975,Dec,02
46,0006-2960,Biochemistry,Biochemistry,Purification and properties of Escherichia coli dihydrofolate reductase.,"Baccanari, D, D; Phillips, A, A; Smith, S, S; Sinski, D, D; Burchall, J, J",1975,Dec,02
47,0006-2960,Biochemistry,Biochemistry,The influence of pH on the interaction of inhibitors with triosephosphate isomerase and determination of the pKa of the active-site carboxyl group.,"Hartman, F C, FC; LaMuraglia, G M, GM; Tomozawa, Y, Y; Wolfenden, R, R",1975,Dec,02
48,0006-2960,Biochemistry,Biochemistry,Monoanion inhibition and 35Cl nuclear magnetic resonance studies of renal dipeptidase.,"Ferren, L G, LG; Ward, R L, RL; Campbell, B J, BJ",1975,Dec,02
49,0006-2960,Biochemistry,Biochemistry,The interaction of bovine erythrocyte superoxide dismutase with hydrogen peroxide: inactivation of the enzyme.,"Hodgson, E K, EK; Fridovich, I, I",1975,Dec,02
50,0006-2960,Biochemistry,Biochemistry,Circular dichroism and fluorescence studies of homogeneous antibodies to type III pneumococcal polysaccharide.,"Jaton, J C, JC; Huser, H, H; Blatt, Y, Y; Pecht, I, I",1975,Dec,02
51,0006-2960,Biochemistry,Biochemistry,Conformational changes induced in a homogeneous anti-type III pneumococcal antibody by oligosaccharides of increasing size.,"Jaton, J C, JC; Huser, H, H; Braun, D G, DG; Givol, D, D; Pecht, I, I; Schlessinger, J, J",1975,Dec,02
52,0006-2960,Biochemistry,Biochemistry,Evidence of the involvement of a 50S ribosomal protein in several active sites.,"Fahnestock, S R, SR",1975,Dec,02
53,0006-2960,Biochemistry,Biochemistry,The interaction of phospholipase A2 with micellar interfaces. The role of the N-terminal region.,"van Dam-Mieras, M C, MC; Slotboom, A J, AJ; Pieterson, W A, WA; de Haas, G H, GH",1975,Dec,16
54,0006-2960,Biochemistry,Biochemistry,Phospholipase A2 as a probe of phospholipid distribution in erythrocyte membranes. Factors influencing the apparent specificity of the reaction.,"Martin, J K, JK; Luthra, M G, MG; Wells, M A, MA; Watts, R P, RP; Hanahan, D J, DJ",1975,Dec,16
55,0006-2960,Biochemistry,Biochemistry,Subunit interactions in yeast glyceraldehyde-3-phosphate dehydrogenase.,"Mockrin, S C, SC; Byers, L D, LD; Koshland, D E, DE",1975,Dec,16
56,0006-2960,Biochemistry,Biochemistry,Kinetic light scattering studies on the dissociation of hemoglobin from Lumbricus terrestris.,"Goss, D J, DJ; Parkhurst, L J, LJ; Görisch, H, H",1975,Dec,16
57,0006-2960,Biochemistry,Biochemistry,"The reversible reduction of horse metmyoglobin by the iron(II) complex of trans-1,2-diaminocyclohexane-N,N,N,n-tetraacetate.","Cassatt, J C, JC; Marini, C P, CP; Bender, J W, JW",1975,Dec,16
58,0006-2960,Biochemistry,Biochemistry,Constitution and properties of axonal membranes of crustacean nerves.,"Balerna, M, M; Fosset, M, M; Chicheportiche, R, R; Romey, G, G; Lazdunski, M, M",1975,Dec,16
59,0006-3002,Biochimica et biophysica acta,Biochim Biophys Acta,Regulation of nitrogen fixation. Nitrogenase-derepressed mutants of Klebsiella pneumoniae.,"Shanmugam, K T, KT; Chan, I, I; Morandi, C, C",1975,Nov,11
60,0006-3002,Biochimica et biophysica acta,Biochim Biophys Acta,The reaction between the superoxide anion radical and cytochrome c.,"Butler, J, J; Jayson, G G, GG; Swallow, A J, AJ",1975,Dec,11
61,0006-3002,Biochimica et biophysica acta,Biochim Biophys Acta,Identification of the 120 mus phase in the decay of delayed fluorescence in spinach chloroplasts and subchloroplast particles as the intrinsic back reaction. The dependence of the level of this phase on the thylakoids internal pH.,"Haveman, J, J; Lavorel, J, J",1975,Dec,11
62,0006-3002,Biochimica et biophysica acta,Biochim Biophys Acta,Light-induced changes of absorbance and electron spin resonance in small photosystem II particles.,"Van Gorkom, H J, HJ; Pulles, M P, MP; Wessels, J S, JS",1975,Dec,11
63,0006-3002,Biochimica et biophysica acta,Biochim Biophys Acta,"Enzymic reactions of fatty acid hydroperoxides in extracts of potato tuber. II. Conversion of 9- and 13-hydroperoxy-octadecadienoic acids to monohydroxydienoic acid, epoxyhydroxy- and trihydroxymonoenoic acid derivatives.","Galliard, T, T; Phillips, D R, DR; Matthew, J A, JA",1975,Nov,21
64,0006-3002,Biochimica et biophysica acta,Biochim Biophys Acta,Partial purification and properties of microsomal phosphatidate phosphohydrolase from rat liver.,"Caras, I, I; Shapiro, B, B",1975,Nov,21
65,0006-3002,Biochimica et biophysica acta,Biochim Biophys Acta,Bile acids. XLVII. 12alpha-Hydroxylation of precursors of allo bile acids by rabbit liver microsomes.,"Ali, S S, SS; Elliott, W H, WH",1975,Nov,21
66,0006-3002,Biochimica et biophysica acta,Biochim Biophys Acta,Partial purification and properties of a phenobarbital-induced aldehyde dehydrogenase of rat liver.,"Koivula, T, T; Koivusalo, M, M",1975,Nov,20
67,0006-3002,Biochimica et biophysica acta,Biochim Biophys Acta,Cholinesterases from plant tissues. VI. Preliminary characterization of enzymes from Solanum melongena L. and Zea mays L.,"Fluck, R A, RA; Jaffe, M J, MJ",1975,Nov,20
68,0006-3002,Biochimica et biophysica acta,Biochim Biophys Acta,Behavior of soluble and immobilized acid phosphatase in hydro-organic media.,"Wan, H, H; Horvath, C, C",1975,Nov,20
69,0006-3002,Biochimica et biophysica acta,Biochim Biophys Acta,Purification and some enzymatic properties of the chitosanase from Bacillus R-4 which lyses Rhizopus cell walls.,"Tominaga, Y, Y; Tsujisaka, Y, Y",1975,Nov,20
70,0006-3002,Biochimica et biophysica acta,Biochim Biophys Acta,Specificity studies on alpha-mannosidases using oligosaccharides from mannosidosis urine as substrates.,"Hultberg, B, B; Lundblad, A, A; Masson, P K, PK; Ockerman, P A, PA",1975,Nov,20
71,0006-3002,Biochimica et biophysica acta,Biochim Biophys Acta,Calcium-stimulated adenosine triphosphatase in the microsomal fraction of tooth germ from porcine fetus.,"Yoshimura, F, F; Suzuki, T, T",1975,Nov,20
72,0006-3002,Biochimica et biophysica acta,Biochim Biophys Acta,Preparation and characterization of an enzymatically active immobilized derivative of myosin.,"Elgart, E S, ES; Gusovsky, T, T; Rosenberg, M D, MD",1975,Nov,20
73,0006-3002,Biochimica et biophysica acta,Biochim Biophys Acta,"Radioactive labeling and location of specific thiol groups in myosin from fast, slow and cardiac muscles.","Pfister, M, M; Schaub, M C, MC; Watterson, J G, JG; Knecht, M, M; Waser, P G, PG",1975,Nov,20
74,0006-3002,Biochimica et biophysica acta,Biochim Biophys Acta,Yeast glutathione reductase. Studies of the kinetics and stability of the enzyme as a function of pH and salt concentration.,"Moroff, G, G; Brandt, K G, KG",1975,Nov,20
75,0006-3002,Biochimica et biophysica acta,Biochim Biophys Acta,Characteristics of the dephosphorylated form of phosphorylase purified from rat liver and measurement of its activity in crude liver preparations.,"Tan, A W, AW; Nuttall, F Q, FQ",1975,Nov,20
76,0006-3002,Biochimica et biophysica acta,Biochim Biophys Acta,Multiple forms of casein kinase from rabbit erythrocytes.,"Kumar, R, R; Tao, M, M",1975,Nov,20
77,0006-3002,Biochimica et biophysica acta,Biochim Biophys Acta,Kinetic studies and effects of anions on creatine phosphokinase from skeletal muscle of rhesus monkey (Macaca mulatta).,"Chegwidden, W R, WR; Watts, D C, DC",1975,Nov,20
78,0006-3002,Biochimica et biophysica acta,Biochim Biophys Acta,Studies on rat renal cortical cell kallikrein. I. Separation and measurement.,"Kaizu, T, T; Margolius, H S, HS",1975,Dec,05
79,0006-3002,Biochimica et biophysica acta,Biochim Biophys Acta,Studies on electron transfer between mercury electrode and hemoprotein.,"Scheller, F, F; Jänchen, M, M; Lampe, J, J; Prümke, H J, HJ; Blanck, J, J; Palecek, E, E",1975,Nov,18
80,0006-3002,Biochimica et biophysica acta,Biochim Biophys Acta,The binding of organic phosphates to human methaemoglobin A. Perturbation of the polymerization of proteins by effectors.,"Baghurst, P A, PA; Nichol, L W, LW",1975,Nov,18
81,0006-3002,Biochimica et biophysica acta,Biochim Biophys Acta,"N-terminal spin label studies of hemoglobin, Ligand and pH dependence.","Giangrande, M, M; Kim, Y W, YW; Mizukami, H, H",1975,Nov,18
82,0006-3002,Biochimica et biophysica acta,Biochim Biophys Acta,The behavior of holo- and apo-forms of bovine superoxide dismutase at low pH.,"Fee, J A, JA; Phillips, W D, WD",1975,Nov,18
83,0006-3002,Biochimica et biophysica acta,Biochim Biophys Acta,Mechanical precipitation of hemoglobin köln.,"Asakura, T, T; Adachi, K, K; Shapiro, M, M; Friedman, S, S; Schwartz, E, E",1975,Dec,15
84,0006-3002,Biochimica et biophysica acta,Biochim Biophys Acta,Physical properties and subunits of Haemopis grandis erythrocruorin.,"Andonian, M R, MR; Barrett, A S, AS; Vinogradov, S N, SN",1975,Dec,15
85,0006-3002,Biochimica et biophysica acta,Biochim Biophys Acta,Myosin from arterial smooth muscle: isolation following actin depolymerization.,"Megerman, J, J; Murphy, R A, RA",1975,Dec,15
86,0006-3002,Biochimica et biophysica acta,Biochim Biophys Acta,Hybrids of chemical derivatives of Escherichia coli alkaline phosphatase.,"Meighen, E, E; Yue, R, R",1975,Dec,15
87,0006-3002,Biochimica et biophysica acta,Biochim Biophys Acta,Some physicochemical properties of hemoglobin-manitoba (alpha2 102Ser replaced by Arg (G9) beta2).,"Wrightstone, R N, RN; Smith, L L, LL; Wilson, J B, JB; Vella, F, F; Huisman, T H, TH",1975,Dec,15
88,0006-3002,Biochimica et biophysica acta,Biochim Biophys Acta,"The oxygen affinity of haemoglobin Tak, a variant with an elongated beta chain.","Imai, K, K; Lehmann, H, H",1975,Dec,15
89,0006-3002,Biochimica et biophysica acta,Biochim Biophys Acta,Effects of membrane ribonuclease and 3'-nucleotidase on the digestion of polyuridylic acid by rat liver plasma membrane.,"Aronson, N N, NN; Yannarell, A, A",1975,Nov,17
90,0006-3002,Biochimica et biophysica acta,Biochim Biophys Acta,Alterations in phospholipid-dependent (Na+ +K+)-ATPase activity due to lipid fluidity. Effects of cholesterol and Mg2+.,"Kimelberg, H K, HK",1975,Nov,17
91,0006-3002,Biochimica et biophysica acta,Biochim Biophys Acta,Conformational and molecular responses to pH variation of the purified membrane adenosine triphosphatase of Micrococcus lysodeikticus.,"Nieto, M, M; Muñoz, E, E; Carreira, J, J; Andreu, J M, JM",1975,Dec,16
92,0006-3002,Biochimica et biophysica acta,Biochim Biophys Acta,Membrane-bound enzymes. III. Protease activity in leucocytes in relation to erythrocyte membranes.,"Heller, M, M; Edelstein, P, P; Mayer, M, M",1975,Dec,16
93,0006-3029,Biofizika,Biofizika,[Structure formation in interphase adsorption layers of lysozyme at liquid boundaries].,"Alekseeva, I G, IG; Lapina, G P, GP; Tulovskaia, Z D, ZD; Izmaĭlova, V N, VN",NA,NA,NA
94,0006-3029,Biofizika,Biofizika,[Relation between fluorescence and circular dichroism of the complex of the fluorescence probe 4-dimethylaminochalcone with serum albumin].,"Dobretsov, G E, GE; Kharitonenkov, I G, IG; Mishiev, V E, VE; Vladimirov, Iu A, IuA",NA,NA,NA
96,0301-4622,Biophysical chemistry,Biophys Chem,Polymer concentration dependence of the helix to random coil transition of a charged polypeptide in aqueous salt solution.,"Nitta, K, K; Yoneyama, M, M",1975,Oct,NA
95,0006-3029,Biofizika,Biofizika,[Luminescence study of the effect of temperature on the conformational state of fibrinogen].,"Konev, S V, SV; Katibnikov, M A, MA; Bandarin, V A, VA; Niamaa, D, D; Barkovskiĭ, E V, EV",NA,NA,NA
97,0572-6565,Biotechnology and bioengineering symposium,Biotechnol Bioeng Symp,Hydrogen peroxide and iron: a microbial cellulolytic system?,"Koenigs, J W, JW",1975,NA,NA
98,0572-6565,Biotechnology and bioengineering symposium,Biotechnol Bioeng Symp,Microbial sources of cellulase.,"Mandels, M, M",1975,NA,NA
99,0547-6844,Birth defects original article series,Birth Defects Orig Artic Ser,Mannosidosis: clinical and biochemical findings.,"Gehler, J, J; Cantz, M, M; O'Brien, J F, JF; Tolksdorf, M, M; Spranger, J, J",1975,NA,NA
100,0547-6844,Birth defects original article series,Birth Defects Orig Artic Ser,Bovine mannosidosis--a model lysosomal storage disease.,"Jolly, R D, RD; Thompson, K G, KG; Winchester, B G, BG",1975,NA,NA
101,0547-6844,Birth defects original article series,Birth Defects Orig Artic Ser,Ehlers-Danlos type V (X-linked form): a lysyl oxidase deficiency.,"Di Ferrante, N, N; Leachman, R D, RD; Angelini, P, P; Donnelly, P V, PV; Francis, G, G; Almazan, A, A; Segni, G, G; Franzblau, C, C; Jordan, R E, RE",1975,NA,NA
102,0547-6844,Birth defects original article series,Birth Defects Orig Artic Ser,Urinary alpha-L-fucosidase.,"Ng, W G, WG; Donnell, G N, GN; Koch, R, R; Bergren, W R, WR",1975,NA,NA
103,0365-9615,Biulleten' eksperimental'noi biologii i meditsiny,Biull Eksp Biol Med,[Combined effects of hypoxia and hypercapnia on the functional state of the respiratory center].,"Kulik, A M, AM; Kondrat'eva, L N, LN",1975,Apr,NA
104,0365-9615,Biulleten' eksperimental'noi biologii i meditsiny,Biull Eksp Biol Med,[Level of nicotinamide coenzymes in the liver and myocardium of rats poisoned with dichlorethane].,"Natsiuk, M V, MV; Chekman, I S, IS",1975,Apr,NA
105,0365-9615,Biulleten' eksperimental'noi biologii i meditsiny,Biull Eksp Biol Med,[Effect of carbidine on conditioned defense reflexes].,"Barkov, N K, NK; Ostrovskaia, R U, RU",1975,Apr,NA
106,0365-9615,Biulleten' eksperimental'noi biologii i meditsiny,Biull Eksp Biol Med,"[Level of nicotinamide coenzymes in the myocardium of rats during the effects of methylxanthines (theophylline, theobromine, caffeine) and catecholamines].","Frantsuzova, S B, SB",1975,Apr,NA
107,0007-4861,Bulletin of environmental contamination and toxicology,Bull Environ Contam Toxicol,Potable water quality in rural Georgetown County.,"Sandhu, S S, SS; Nelson, P, P; Warren, W J, WJ",1975,Oct,NA
108,0324-8542,Bulletin of the Institute of Maritime and Tropical Medicine in Gdynia,Bull Inst Marit Trop Med Gdynia,Symposium on malaria research.,"Lachmajer, J, J",1975,NA,NA
109,0324-8542,Bulletin of the Institute of Maritime and Tropical Medicine in Gdynia,Bull Inst Marit Trop Med Gdynia,6th International Symposium on Maritime Medicine 1974.,"Kersten, E, E",1975,NA,NA
110,0025-9284,Bulletin of the Menninger Clinic,Bull Menninger Clin,Polypsychopharmacy.,"Sturges, S, S; Brown, M, M",1975,May,NA
112,0007-1226,British journal of plastic surgery,Br J Plast Surg,PH changes on the surface of burns.,"Kemble, J V, JV",1975,Jul,NA
113,0007-1188,British journal of pharmacology,Br J Pharmacol,Proceedings: The effects of glucagon on the hepatic arterial vasculature of the dog: an inhibition of the effects of vasoconstrictor agents.,"Richardson, P D, PD; Withrington, P G, PG",1975,Oct,NA
111,0007-439X,Bulletin de physio-pathologie respiratoire,Bull Physiopathol Respir (Nancy),[Oxygen affinity of haemoglobin (author's transl)].,"Robert, M, M",NA,NA,NA
114,0007-1188,British journal of pharmacology,Br J Pharmacol,Proceedings: Central hypertensive action of histamine in rats.,"Finch, L, L; Hicks, P E, PE",1975,Oct,NA
115,0007-1188,British journal of pharmacology,Br J Pharmacol,Proceedings: Response of identified ventromedial hypothalamic nucleus neurons to putative neurotransmitters applied by microiontophoresis.,"Renaud, L P, LP; Kelly, J S, JS",1975,Oct,NA
116,0007-1188,British journal of pharmacology,Br J Pharmacol,"Proceedings: The mechanism of ""adrenaline reversal"" in the anaesthetized cat and rabbit.","Grundy, H C, HC; Grundy, H F, HF",1975,Oct,NA
117,0007-1188,British journal of pharmacology,Br J Pharmacol,Proceedings: Is ATP an inhibitory neurotransmitter in the rat stomach.,"Heazell, M A, MA",1975,Oct,NA
118,0007-1188,British journal of pharmacology,Br J Pharmacol,Proceedings: Comparison of the effects of selective alpha and beta-receptor agonists on intracellular cyclic AMP levels and glycogen phosphorylase activity in guinea-pig liver.,"Osborn, D, D; Jenkinson, D H, DH",1975,Oct,NA
119,0007-1188,British journal of pharmacology,Br J Pharmacol,Proceedings: The role of dopamine in rotational behaviour produced by unilateral lesions of the locus coeruleus.,"Donaldson, I, I; Dolphin, A, A; Jenner, P, P; Mardsen, C K, CK; Pycock, C, C",1975,Oct,NA
120,0007-1188,British journal of pharmacology,Br J Pharmacol,Proceedings: Do anti-psychotic drugs act by dopamine receptor blockade in the nucleus accumbens.,"Crow, T J, TJ; Deakin, J F, JF; Longden, A, A",1975,Oct,NA
121,0007-1188,British journal of pharmacology,Br J Pharmacol,Proceedings: Evaluation of narcotic and narcotic antagonist analgesic drugs in the dog dental pulp stimulation test.,"Marriott, A S, AS; Skingle, M, M; Tyers, M B, MB",1975,Oct,NA
122,0007-1331,British journal of urology,Br J Urol,Meso-appendicular testis.,"Zelikovski, A, A; Abu-Dalu, J, J; Urca, I, I",1975,Oct,NA
123,0007-1323,The British journal of surgery,Br J Surg,The importance of an innervated and intact antrum and pylorus in preventing postoperative duodenogastric reflux and gastritis.,"Keighley, M R, MR; Asquith, P, P; Edwards, J A, JA; Alexander-Williams, J, J",1975,Oct,NA
124,0007-1447,British medical journal,Br Med J,"Haemoglobin Rahere (beta Lys-Thr): A new high affinity haemoglobin associated with decreased 2, 3-diphosphoglycerate binding and relative polycythaemia.","Lorkin, P A, PA; Stephens, A D, AD; Beard, M E, ME; Wrigley, P F, PF; Adams, L, L; Lehmann, H, H",1975,Oct,25
125,0007-1447,British medical journal,Br Med J,Endoscopic papillotomy and removal of gall stones.,"Classen, M, M; Safrany, L, L",1975,Nov,15
126,0007-1447,British medical journal,Br Med J,Phobias complicating treatment of uterine carcinoma.,"Lloyd, G, G; Deakin, H G, HG",1975,Nov,22
127,0007-1447,British medical journal,Br Med J,Editorial: Childhood poisoning: prevention and first-aid management.,,1975,Nov,29
128,0006-8993,Brain research,Brain Res,"Inhibitory postsynaptic actions of taurine, GABA and other amino acids on motoneurons of the isolated frog spinal cord.","Sonnhof, U, U; Grafe, P, P; Krumnikl, J, J; Linder, M, M; Schindler, L, L",1975,Dec,19
129,0006-8993,Brain research,Brain Res,The involvement of lysophosphoglycerides in neurotransmitter release; the composition and turnover of phospholipids of synaptic vesicles of guinea-pig cerebral cortex and Torpedo electric organ and the effect of stimulation.,"Baker, R R, RR; Dowdall, M J, MJ; Whittaker, V P, VP",1975,Dec,26
130,0006-8993,Brain research,Brain Res,Uptake of radiolabeled glucose analogues by organotypic pia arachnoid cultures.,"Spatz, M, M; Renkawek, K, K; Murray, M R, MR; Klatzo, I, I",1975,Dec,26
131,0068-2799,Brookhaven symposia in biology,Brookhaven Symp Biol,Processing of tRNA precursors in higher organisms.,"Burdon, R H, RH",1975,Jul,NA
132,0008-2856,Canadian Anaesthetists' Society journal,Can Anaesth Soc J,Cardiac output response to altered acid-base status during diethyl ether anaesthesia.,"Sodipo, J O, JO; Lee, D C, DC; Morris, L E, LE",1975,Nov,NA
